slug,name,dean,vice_dean,secretary
central,Central Deanery,Fr Alfredo van der Schyff,Fr Geoffrey Mawa Abdallah AJ,Fr Charles Prince
city-bowl,City Bowl Deanery,Fr Bogdan Buksa,Fr Michael van Heerden,Fr Zane Godwin
constantiaberg,Constantiaberg Deanery,Fr Chiedza Chimhanda SJ,Fr Shaun Addinall,Fr Diego Arias
east-coast,East Coast Deanery,Fr Rui Henriques,Fr Brandon West,Fr Moses Chanda OP
eastern,Eastern Deanery,Fr Jonathan Daniels SDB,Fr Bernard Makore,Fr Longinus Kharjia OFM Cap
northern,Northern Deanery,Fr Nkululeko Qokolo,Fr Joseph Chimfwembe,Dcn Mario da Costa
peninsula,Peninsula Deanery,Fr Galal John O Praem,Fr Cebelihle Cibane OMI,
west-coast,West Coast Deanery,Fr Rohan Smuts,Fr Paul Taylor,Fr Theo April
